group,filename,type,dimensions,file_size,alpha_status,transparent_pixels_percent,source_path
logo,GREY LOGO COMPLY MY PROPERTY.png,png,1304x168,28.6 KB,has transparent pixels,83.66,/Users/davidtaylor/Desktop/Comply my property all/GREY LOGO COMPLY MY PROPERTY.png
logo,cmp sideways trans.png,png,2480x2480,523.7 KB,has transparent pixels,94.6,/Users/davidtaylor/Desktop/Comply my property all/cmp sideways trans.png
logo,cmp normal square trans.png,png,2480x2480,718.9 KB,has transparent pixels,87.28,/Users/davidtaylor/Desktop/Comply my property all/cmp normal square trans.png
hero,homepage-hero-wide.jpg,jpg,1823x863,248.5 KB,opaque/no alpha channel,0,/Users/davidtaylor/Desktop/VIBECODE/David-s-website/assets/generated/homepage-hero-wide.jpg
origami-postcode,oragami house.png,png,3456x1071,3.0 MB,has transparent pixels,46.73,/Users/davidtaylor/Desktop/Comply my property all/oragami house.png
origami-postcode,HOUSE OREGAMI HD.png,png,3024x4032,6.9 MB,has transparent pixels,63.19,/Users/davidtaylor/Desktop/Comply my property all/HOUSE OREGAMI HD.png
warning,top tile epc.png,png,8000x5000,6.3 MB,has transparent pixels,53.44,/Users/davidtaylor/Desktop/Comply my property all/top tile epc.png
warning,top tile solicitor.png,png,8000x5000,4.6 MB,has transparent pixels,53.46,/Users/davidtaylor/Desktop/Comply my property all/top tile solicitor.png
services,Compliance Checker A-Z TILE.png,png,3935x4825,22.8 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/Compliance Checker A-Z TILE.png
services,epc's tile.png,png,8000x8000,419.9 KB,has transparent pixels,72.6,/Users/davidtaylor/Desktop/Comply my property all/epc's tile.png
services, AML TILE.png,png,3935x4825,16.2 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/ AML TILE.png
services,gas safety tile2.png,png,3935x4825,844.9 KB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/gas safety tile2.png
services,property inspections tile.png,png,3935x4825,2.0 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/property inspections tile.png
services,landlord insurance tile.png,png,3935x4825,22.2 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/landlord insurance tile.png
services,Selective licensing tile.png,png,3935x4825,2.1 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/Selective licensing tile.png
services,Mortgages tile.png,png,3935x4825,1.2 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/Mortgages tile.png
services,Trouble Tenants tile.png,png,3935x4825,1.9 MB,has transparent pixels,7.64,/Users/davidtaylor/Desktop/Comply my property all/Trouble Tenants tile.png
services,making-tax-digital.png,png,1920x1080,214.4 KB,alpha channel but fully opaque,0.0,/Users/davidtaylor/Desktop/Comply my property all/making-tax-digital.png
services-icons,SERVICE_0008_----EPC.png,png,1254x1254,1.1 MB,has transparent pixels,50.26,/Users/davidtaylor/Desktop/Comply my property all/iconsforcmp/SERVICE_0008_----EPC.png
services-icons,SERVICE_0009_gas.png,png,1254x1254,1017.7 KB,has transparent pixels,58.19,/Users/davidtaylor/Desktop/Comply my property all/iconsforcmp/SERVICE_0009_gas.png
services-icons,SERVICE_0005_EICR.png,png,1254x1254,991.2 KB,has transparent pixels,58.17,/Users/davidtaylor/Desktop/Comply my property all/iconsforcmp/SERVICE_0005_EICR.png
